customer_id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenience,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction
19620,M,disloyal,24,business,eco,416,3.0,,3.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,3,5.0,2.0,4.0,89,0,89,recovered,neutral or dissatisfied
45238,F,loyal,34,personal,eco,1013,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3,2.0,3.0,1.0,71,0,71,recovered,neutral or dissatisfied
113283,F,loyal,66,business,business,2103,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5,3.0,5.0,5.0,74,0,74,recovered,satisfied
51382,F,loyal,49,personal,eco plus,193,2.0,2.0,,3.0,,1.0,1.0,1.0,2.0,4.0,4,1.0,2.0,1.0,150,0,150,recovered,neutral or dissatisfied
38176,F,loyal,57,personal,eco,1091,4.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2,3.0,1.0,3.0,271,0,271,recovered,neutral or dissatisfied
114368,M,loyal,10,business,business,1577,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,5,4.0,5.0,4.0,73,0,73,recovered,satisfied
22398,M,disloyal,32,business,eco,208,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3,4.0,4.0,2.0,116,0,116,recovered,neutral or dissatisfied
12798,F,loyal,29,business,business,817,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,1,3.0,2.0,5.0,92,0,92,recovered,satisfied
27187,M,loyal,24,personal,eco,2681,1.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,4,1.0,4.0,3.0,92,0,92,recovered,neutral or dissatisfied
11845,F,loyal,31,business,business,3037,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4,4.0,4.0,2.0,127,0,127,recovered,satisfied
35764,M,loyal,38,business,business,200,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,3,5.0,5.0,5.0,157,0,157,recovered,satisfied
36729,M,loyal,49,personal,eco plus,1249,2.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4,3.0,4.0,3.0,230,0,230,recovered,neutral or dissatisfied
